Orig.Row,Sample,Water Type,PhreeqC (1= yes),pH,TDS (mg/L),Alk. (ueq/L),DICcalc (umol/L),DICexp (umol/L),Cl (umol/l),SO4 (umol/l),F (umol/l),Br (umol/l),Ca (umol/l),Mg (umol/l),Na (umol/l),K (umol/l),Si (umol/l),Al (umol/l),Ba (umol/l),Sr (umol/l),Fe (umol/l),Mn (umol/l),Calcite,± Calcite,Gypsum,± Gypsum,log PCO2,± lgPCO2,Alk* ueq/L,± Alk*,DICcalc* umol/L,± DIC*,DICexp* umol/L,SO4* (umol/l),Ca* (umol/l),Mg* (umol/l),Na* (umol/l),K* (umol/l),SO4* (ueq/l),Ca* (ueq/l),Mg* (ueq/l),Ca*+Mg* (ueq/l),(Ca+Mg-SO4)* (umol/l),(HCO3+SO4)* ueq/L,Na*+K* (umol/l),SumCat* ueq/L,Calcite*,± Calcite*,Gypsum*,± Gypsum*,log PCO2*,± lgPCO2*
286,14G-GL11-2-S1- r286,3,,,0.20,,,,,1.139905063,,,0.28,0.17,0.949990455,0.480003683,0.499982198,,,,,,,,,,,,,,,,,1.14,0.28,0.17,0.95,0.48,2.28,0.56,0.34,0.90,0.00,,1.43,2.33,,,,,,
287,14G-GL11-2-S2- r287,3,,,0.22,,,,,,,,0.53,0.26,2.009979804,1.340010282,1.629941964,,,,,,,,,,,,,,,,,,0.53,0.26,2.01,1.34,,1.06,0.52,1.58,,,3.35,4.93,,,,,,
288,14G-GL11-T-S1- r288,3,,,0.36,,,,,,,,1.88,0.79,0.909990856,0.880006752,3.539873959,,,,,,,,,,,,,,,,,,1.88,0.79,0.91,0.88,,3.76,1.58,5.34,,,1.79,7.13,,,,,,
290,17G- GL13-1  - r290,5,,,9.33,,,,18.20,19.69868754,0.699705232,,63.10314886,6.4,38.09961883,23.20017801,38.7,,,,,,,,,,,,,,,,,19.70,63.10,6.40,38.10,23.20,39.40,126.21,12.80,139.01,49.80,,61.30,200.31,,,,,,
291,17G- GL13-2  - r291,5,,,10.01,,,,16.70,21.19858761,2.898778819,,66.00329358,6.3,38.79961183,25.7001972,44.7,,,,,,,,,,,,,,,,,21.20,66.00,6.30,38.80,25.70,42.40,132.01,12.60,144.61,51.10,,64.50,209.11,,,,,,
292,17G- GL13-3  - r292,5,,,9.26,,,,20.60,21.6985543,0.699705232,,61.90308898,6.4,40.19959783,23.10017725,33,,,,,,,,,,,,,,,,,21.70,61.90,6.40,40.20,23.10,43.40,123.81,12.80,136.61,46.60,,63.30,199.91,,,,,,
293,17G- GL13-4  - r293,5,,,7.96,,,,14.70,18.29878081,0.699705232,,56.30280952,6.9,33.49966485,21.60016574,27.3,,,,,,,,,,,,,,,,,18.30,56.30,6.90,33.50,21.60,36.60,112.61,13.80,126.41,44.90,,55.10,181.51,,,,,,
294,17G- GL13-5  - r294,5,,,6.84,,,,7.50,15.59896069,0.599747342,,50.30251011,4.9,28.59971388,15.6001197,27.8,,,,,,,,,,,,,,,,,15.60,50.30,4.90,28.60,15.60,31.20,100.61,9.80,110.41,39.60,,44.20,154.60,,,,,,
295,17G- GL13-6  - r295,5,,,8.62,,,,23.40,15.89894071,0.699705232,,55.10274964,5.6,40.89959082,24.30018645,33.8,,,,,,,,,,,,,,,,,15.90,55.10,5.60,40.90,24.30,31.80,110.21,11.20,121.41,44.80,,65.20,186.61,,,,,,
296,17G- GL13-7  - r296,5,,,7.88,,,,11.50,17.59882745,0.599747342,,56.00279455,5.5,29.69970287,18.80014425,33,,,,,,,,,,,,,,,,,17.60,56.00,5.50,29.70,18.80,35.20,112.01,11.00,123.01,43.90,,48.50,171.51,,,,,,
297,17G- GL13-8  - r297,5,,,9.21,,,,22.60,19.39870753,0.399831561,,59.70297919,5.9,38.89961083,27.00020717,34.3,,,,,,,,,,,,,,,,,19.40,59.70,5.90,38.90,27.00,38.80,119.41,11.80,131.21,46.20,,65.90,197.11,,,,,,
298,17G- GL13-9  - r298,5,,,10.60,,,,22.30,23.79841439,0.699705232,,77.1038475,6.8,42.09957882,24.70018952,38.9,,,,,,,,,,,,,,,,,23.80,77.10,6.80,42.10,24.70,47.60,154.21,13.60,167.81,60.11,,66.80,234.61,,,,,,
299,17G- GL13-10  - r299,5,,,9.17,,,,15.20,23.79841439,0.699705232,,61.80308399,6.5,33.59966385,22.10016957,34.5,,,,,,,,,,,,,,,,,23.80,61.80,6.50,33.60,22.10,47.60,123.61,13.00,136.61,44.50,,55.70,192.31,,,,,,
300,17G- GL13-11  - r300,5,,,5.27,,,,6.60,15.59896069,0.499789452,,31.9015919,4.7,15.99983993,9.600073661,23.3,,,,,,,,,,,,,,,,,15.60,31.90,4.70,16.00,9.60,31.20,63.80,9.40,73.20,21.00,,25.60,98.80,,,,,,
301,17G- GL13-13  - r301,5,,,5.77,,,,11.90,14.09906063,0.499789452,,36.0017965,4.4,20.09979891,15.10011586,23.1,,,,,,,,,,,,,,,,,14.10,36.00,4.40,20.10,15.10,28.20,72.00,8.80,80.80,26.30,,35.20,116.00,,,,,,
302,17G- GL13-14  - r302,5,,,6.02,,,,8.80,14.99900067,0.399831561,,38.70193123,4.8,19.19980792,15.40011816,25.9,,,,,,,,,,,,,,,,,15.00,38.70,4.80,19.20,15.40,30.00,77.40,9.60,87.00,28.50,,34.60,121.60,,,,,,
303,17G- GL13-15  - r303,5,,,6.83,,,,13.50,9.499367089,1.299452574,,51.20255502,5.1,31.49968486,19.20014732,29.7,,,,,,,,,,,,,,,,,9.50,51.20,5.10,31.50,19.20,19.00,102.41,10.20,112.61,46.80,,50.70,163.30,,,,,,
304,17G- GL13-16  - r304,5,,,7.39,,,,12.50,14.59902732,0.699705232,,52.50261989,5.2,31.39968586,20.30015576,29.9,,,,,,,,,,,,,,,,,14.60,52.50,5.20,31.40,20.30,29.20,105.01,10.40,115.41,43.10,,51.70,167.11,,,,,,
305,17G- GL13-17  - r305,5,,,8.33,,,,14.60,17.69882079,0.899621013,,58.20290434,6.1,32.69967286,21.7001665,33.8,,,,,,,,,,,,,,,,,17.70,58.20,6.10,32.70,21.70,35.40,116.41,12.20,128.61,46.60,,54.40,183.01,,,,,,
